gender,lower_name,lower_program,lower_class,lower_rating,higher_name,higher_program,higher_class,higher_rating,gap,meetings,lower_wins,lower_losses,max_win_streak,scores
boys,Arturo Moore,Nurmes,Group 3,72.0,Keith Hattori,Ashbrook,Group 3,84.0,12.0,2,2,0,2,"2-6, 6-4, 3-6 | 3-6, 6-4, 7-6"
girls,Taryn Paige,Elk Bluff West,Group 3,57.0,Valeria Lopez,Fort Lassiter,Group 3,69.0,12.0,2,2,0,2,"6-4, 2-6, 6-3 | 6-0, 6-7, 2-6"
girls,Madilyn Hsu,Tide Point,5A,38.0,Paige Slade,East Range Agricultural,5A,50.0,12.0,2,2,0,2,"6-4, 3-6, 4-6 | 6-3, 7-5"
boys,Joshua Staudt,Mabry Township,Group 3,61.0,Liam DeLuca,Michaeux,Group 3,73.0,12.0,2,2,0,2,"6-7, 7-5, 6-2 | 3-6, 6-0, 2-6"
girls,Olga Gerun,Hawk Lake,6A,79.0,Audrey Reaves,Oakhaven,6A,91.0,12.0,2,2,0,2,"6-4, 6-1 | 6-3, 3-6, 3-6"
girls,Destiny Archer,Weissburg,4A,54.0,Celeste Wilkinson,Passaic,4A,66.0,12.0,2,2,0,2,"6-7, 6-1, 4-6 | 6-4, 6-4"
boys,Harrison Wilson,Los Robles,7A,48.0,Nasir Klick,Parkside,7A,60.0,12.0,2,2,0,2,"7-6, 6-3 | 6-1, 6-7, 2-6"
girls,Kensley Loera,Trois Ilets,7A,57.0,Janiya Romanelli,Indigo Rim,7A,69.0,12.0,2,2,0,2,"2-6, 6-4, 7-5 | 5-7, 5-7"
girls,Emma Ramos,Enterprise,2A,58.0,Mina Simanić,Haddon,2A,69.0,11.0,2,2,0,2,"7-5, 0-6, 6-4 | 3-6, 6-1, 4-6"
girls,Ximena Wells,Green River,Group 1,52.0,Brianna Janson,Rostova Tech,Group 1,63.0,11.0,2,2,0,2,"4-6, 7-5, 3-6 | 3-6, 4-6"
boys,Jackson Salazar,Brynildson Hill,Group 3,44.0,Jude Bennett,Silver Junction,Group 3,55.0,11.0,2,2,0,2,"4-6, 4-6 | 6-3, 6-4"
boys,Marco Cervantes,San Vito Regional,Group 2,63.0,Santiago Hendrickson,Homeland,Group 2,74.0,11.0,2,2,0,2,"6-4, 6-7, 5-7 | 6-2, 3-6, 7-6"
boys,Justin Dale,Mt Jacqueline,1A,49.0,Brantley Jeffers,Glenwood,1A,60.0,11.0,2,2,0,2,"3-6, 6-4, 4-6 | 7-6, 7-6"
boys,Robert Moore,Galena,Group 2,43.0,Joshua Hoopes,Copper Bar,Group 2,54.0,11.0,2,2,0,2,"6-3, 6-2 | 3-6, 2-6"
boys,Omar Martinez,Carter,9A,61.0,Francis Beatty,Seagrove,9A,72.0,11.0,2,2,0,2,"2-6, 6-2, 6-4 | 4-6, 6-1, 5-7"
girls,Grace Rodgers,Forest Park,9A,72.0,Avery Sandoval,Snowline,9A,83.0,11.0,2,2,0,2,"7-6, 6-3 | 3-6, 6-7"
boys,Joseph Dailey,North Wind,3A,60.0,Sandy Ciamarra,New Leiden,3A,71.0,11.0,2,2,0,2,"3-6, 4-6 | 2-6, 6-4, 6-2"
boys,Johannes Eide,Bridgewater,6A,61.0,Greyson Cardwell,C. Coolidge,6A,72.0,11.0,2,2,0,2,"4-6, 6-2, 3-6 | 6-3, 6-7, 4-6"
boys,Miguel Torres,San Tomás,9A,66.0,Elijah Kibble,Coyote Bend,9A,77.0,11.0,2,2,0,2,"3-6, 4-6 | 3-6, 7-5, 6-3"
girls,Genesis Turner,Santa Laura,9A,56.0,Shauna-Kaye Saucedo,Charlotte,9A,67.0,11.0,2,2,0,2,"7-5, 6-1 | 5-7, 3-6"
boys,Samuel Chambers,Silver Junction,Group 3,65.0,Wilbur Vincelette,Elk Bluff,Group 3,76.0,11.0,2,2,0,2,"4-6, 4-6 | 7-6, 7-6"
boys,Elijah Schneider,Caldera,8A,71.0,Kody Lynn,Lower Lake,8A,82.0,11.0,2,2,0,2,"6-3, 6-7, 6-4 | 6-4, 3-6, 6-7"
boys,Anthony Evans,Fort Carden,8A,51.0,Colin Moffett,Caldera,8A,62.0,11.0,2,2,0,2,"4-6, 7-5, 6-2 | 6-4, 6-7, 2-6"
girls,Ella Ivie,Hampton,Group 2,62.0,Norma Yanagi,Wyoming Valley,Group 2,73.0,11.0,2,2,0,2,"6-7, 6-2, 5-7 | 5-7, 7-5, 6-4"
girls,Paisley Benson,Carden Pass,6A,75.0,Magüi Medina,Chaminade,6A,86.0,11.0,2,2,0,2,"6-4, 6-4 | 6-3, 5-7, 6-7"
girls,Ndèye Siamfuko,Crater View,8A,81.0,Lilly Campbell,East Moscow,8A,92.0,11.0,2,2,0,2,"6-4, 6-4 | 6-4, 7-5"
boys,Melvin Abrahamson,Pawnee,6A,66.0,Asher Rhee,Pelican Town,6A,77.0,11.0,2,2,0,2,"3-6, 5-7 | 6-3, 6-7, 6-1"
boys,Marquise Leslie,Fort Lassiter,Group 3,62.0,Nathan Kemp,Topeka,Group 3,73.0,11.0,2,2,0,2,"4-6, 6-2, 6-7 | 4-6, 2-6"
boys,Jacob Damico,Bracken,4A,57.0,Roberto Louis,Marlow,4A,68.0,11.0,2,2,0,2,"6-7, 6-2, 6-1 | 6-7, 6-3, 2-6"
girls,Frances Qin,Lago Vista,8A,31.0,Larissa Childs,Harlan,8A,42.0,11.0,2,2,0,2,"6-0, 6-7, 6-7 | 7-5, 6-2"
boys,Jamal Bergin,Hampton,Group 2,78.0,William Leon,Spring Harvest,Group 2,89.0,11.0,2,2,0,2,"6-2, 6-4 | 3-6, 6-2, 4-6"
boys,Marcos Friedman,Crown Paper,Group 2,49.0,Tyler Hernandez,Clear Lake,Group 2,60.0,11.0,2,2,0,2,"3-6, 1-6 | 6-2, 6-1"
boys,Sua Jamerson,Barley Gap,1A,59.0,Pravin Vahed,St. Josephine Bakhita,1A,70.0,11.0,2,2,0,2,"4-6, 6-0, 6-3 | 3-6, 3-6"
girls,Katherine Stevens,Muskogee,Group 2,53.0,Elizabeth Macy,Norfolk,Group 2,64.0,11.0,2,2,0,2,"6-0, 6-3 | 4-6, 6-2, 4-6"
boys,Diego Banks,Cole Valley,Group 1,82.0,Levi Boyett,Terrace Park,Group 1,92.0,10.0,3,2,1,2,"4-6, 4-6 | 0-6, 6-4, 6-4 | 3-6, 4-6"
boys,Jayson Hunt,Potrero Hill,9A,49.0,Eli Diaz,Polk,9A,59.0,10.0,2,2,0,2,"3-6, 4-6 | 6-4, 6-4"
boys,Donald Jefferson,Scheelite County,Group 2,54.0,Mayson Cortez,Kuopio,Group 2,64.0,10.0,2,2,0,2,"6-4, 1-6, 4-6 | 6-7, 7-5, 6-2"
boys,Carter Fenn,Cañada Grande,Group 1,68.0,Seamus Mahony,Furnace Creek,Group 1,78.0,10.0,2,2,0,2,"2-6, 5-7 | 7-6, 4-6, 6-1"
boys,Adalberto Llorente,Huerta,9A,77.0,Alejandro Leonard,Meriwether,9A,87.0,10.0,2,2,0,2,"3-6, 6-4, 6-3 | 2-6, 6-4, 6-7"
boys,Don Jagusah,Wildrye,Group 2,70.0,Marcell Bonga,Wyoming Valley,Group 2,80.0,10.0,2,2,0,2,"6-4, 6-7, 6-3 | 7-6, 6-4"
girls,Natalia Nation,Eastgate North,6A,62.0,Ella Corson,Golden State,6A,72.0,10.0,2,2,0,2,"4-6, 6-1, 2-6 | 6-4, 6-1"
girls,Avery Smith,Aranaz,Group 2,62.0,Jacqueline Beard,Norwood Park,Group 2,72.0,10.0,2,2,0,2,"1-6, 6-2, 7-6 | 6-7, 6-4, 3-6"
boys,Kaiden Vanvleet,Arroyo Seco,9A,44.0,Jaxen Jacobs,Bannock,9A,54.0,10.0,2,2,0,2,"4-6, 2-6 | 7-6, 6-2"
girls,Valentina Robeson,Fort Carden,8A,63.0,Chloe Sokol,Summit,8A,73.0,10.0,2,2,0,2,"1-6, 6-4, 4-6 | 2-6, 6-3, 7-5"
girls,Quinn Munoz,The Dalles,5A,62.0,Fiona Canedo,Central West End,5A,72.0,10.0,2,2,0,2,"6-2, 5-7, 6-1 | 1-6, 4-6"
girls,Edith Muto,Eatonville,Group 3,58.0,Emma Mercado,Quincy,Group 3,68.0,10.0,2,2,0,2,"6-2, 6-7, 4-6 | 6-2, 6-4"
girls,Mya Smith,Fort Halloran,4A,53.0,Camila Withers,Bracken,4A,63.0,10.0,2,2,0,2,"6-7, 7-5, 5-7 | 3-6, 6-3, 6-2"
boys,Pablo Dawood,Tungsten,Group 3,45.0,Jude Bennett,Silver Junction,Group 3,55.0,10.0,2,2,0,2,"6-2, 6-3 | 6-2, 5-7, 4-6"
boys,Eli Kreger,Bridger Regional,Group 2,58.0,Weston Fermin,Boley,Group 2,68.0,10.0,2,2,0,2,"4-6, 3-6 | 7-6, 1-6, 6-4"
girls,Sara Chesser,Ibarra,Group 2,49.0,Brooklynn Dupont,Wong,Group 2,59.0,10.0,2,2,0,2,"2-6, 2-6 | 6-2, 7-5"
girls,Kaylee Valdivia,Benchton,5A,47.0,Lyla McGrew,Hackensack,5A,57.0,10.0,2,2,0,2,"3-6, 7-6, 3-6 | 6-3, 7-6"
boys,Ty Roehl,Passaic,4A,61.0,Javier Falcón,Edgewater,4A,71.0,10.0,2,2,0,2,"7-5, 7-6 | 4-6, 5-7"
boys,Sigit Solo,The Dalles,5A,53.0,Jackson Reynolds,Gate City,5A,63.0,10.0,2,2,0,2,"5-7, 4-6 | 6-4, 3-6, 6-3"
girls,Cassidy Reiff,Etchart,Group 3,43.0,Hanna Seaton,Meridia,Group 3,53.0,10.0,2,2,0,2,"6-2, 6-1 | 6-7, 6-0, 5-7"
girls,Penelope Chumley,Union Prairie,Group 3,33.0,Kimberly McGahee,Norstead,Group 3,43.0,10.0,2,2,0,2,"3-6, 7-6, 4-6 | 6-3, 6-2"
girls,Monica Holladay,Steelhead Divide,3A,62.0,Chana Washington,Grayston,3A,72.0,10.0,2,2,0,2,"6-4, 4-6, 6-3 | 2-6, 6-3, 4-6"
boys,Joel Barba,Coldwater,Group 2,58.0,Weston Fermin,Boley,Group 2,68.0,10.0,2,2,0,2,"7-6, 6-3 | 6-2, 3-6, 1-6"
girls,Taniyah Netter,Plainfield,8A,81.0,Vanessa Kramer,Pacific Gate,8A,90.0,9.0,4,2,2,2,"6-7, 6-2, 4-6 | 4-6, 6-3, 6-4 | 6-4, 6-0 | 7-6, 4-6, 6-4"
girls,Noa Razo,Charles Harbor,Group 1,63.0,Carol-Ann Saitch,River Plain,Group 1,72.0,9.0,3,2,1,2,"6-2, 6-3 | 6-2, 4-6, 3-6 | 5-7, 3-6"
girls,Lily Grout,Klamath,7A,48.0,Layla Walker,Parkside,7A,57.0,9.0,3,2,1,2,"6-2, 3-6, 6-7 | 7-6, 6-0 | 6-1, 6-7, 5-7"
girls,Ashley Chavez,Punta del Águila,1A,65.0,Madison Turpin,Los Remolinos,1A,74.0,9.0,2,2,0,2,"6-1, 6-3 | 3-6, 2-6"
boys,Darien Rinker,North Antler Regional,2A,64.0,Nick Kinzer,Cape Angeles,2A,73.0,9.0,2,2,0,2,"1-6, 7-6, 4-6 | 6-3, 6-4"
boys,Vince Krall,Windrow,Group 3,39.0,Santiago Lopez,Assay,Group 3,48.0,9.0,2,2,0,2,"6-2, 3-6, 6-4 | 3-6, 3-6"
boys,Omar Sosa,Ransoms Landing,1A,50.0,Dann Hurd,Alfalfa City,1A,59.0,9.0,2,2,0,2,"6-2, 6-7, 3-6 | 6-4, 6-4"
boys,Per Boateng,Coast Prairie,1A,48.0,Mansoor Khan,Carolina Island,1A,57.0,9.0,2,2,0,2,"6-4, 7-5 | 5-7, 6-1, 5-7"
boys,Kelly Keegan,Gold Hollow,2A,49.0,Yates Fitzgibbon,Cape Angeles,2A,58.0,9.0,2,2,0,2,"3-6, 7-5, 6-3 | 6-3, 4-6, 0-6"
girls,Evelyn Squires,New Penzance Island,1A,57.0,Madelynn Santos,Bidwell,1A,66.0,9.0,2,2,0,2,"4-6, 6-4, 1-6 | 5-7, 6-4, 6-4"
boys,Jude Clemmons,Gilhooly,2A,47.0,Allen Chiodo,Canaan Bend,2A,56.0,9.0,2,2,0,2,"6-2, 1-6, 6-7 | 6-3, 4-6, 6-4"
girls,Mila Mitra,Olivet County,8A,58.0,Kyla Westby,Paddock County,8A,67.0,9.0,2,2,0,2,"6-4, 3-6, 4-6 | 4-6, 6-3, 7-6"
girls,Elise Prusoff,Ontario,5A,70.0,Hasna Benhamou,Providence Academy,5A,79.0,9.0,2,2,0,2,"6-4, 6-7, 2-6 | 6-3, 6-2"
girls,Anna Fonseca,Kochiyama,4A,54.0,Camila Withers,Bracken,4A,63.0,9.0,2,2,0,2,"3-6, 3-6 | 6-2, 6-4"
girls,Valentina Koenig,Hawk Lake,6A,70.0,Anhelina Stepanenko,Benedetti,6A,79.0,9.0,2,2,0,2,"1-6, 6-3, 3-6 | 7-5, 1-6, 6-2"
boys,Pierce Simms,Evenfall,6A,57.0,Jackson Hollingsworth,Starfield,6A,66.0,9.0,2,2,0,2,"2-6, 3-6 | 6-1, 7-5"
girls,Jaylynn Ritchie,Pelican Town,6A,64.0,Violet Duong,Pawnee,6A,73.0,9.0,2,2,0,2,"1-6, 6-2, 6-3 | 6-1, 2-6, 4-6"
girls,Dolores Brekelmans,Playa Honda,1A,50.0,Avery Burch,California Beach,1A,59.0,9.0,2,2,0,2,"1-6, 6-4, 6-3 | 6-0, 2-6, 3-6"
girls,Mercedes Saiz,Meridian Regional,2A,82.0,Serenity Nunn,Union,2A,91.0,9.0,2,2,0,2,"6-4, 6-3 | 6-3, 2-6, 4-6"
boys,Enzo Jerkins,Elk Crossing,3A,52.0,Mateo Romero,Tunnelwood,3A,61.0,9.0,2,2,0,2,"6-2, 6-3 | 1-6, 6-2, 4-6"
boys,Noah Miller,Carver,6A,73.0,Grayson Rutledge,C. Coolidge,6A,82.0,9.0,2,2,0,2,"6-4, 5-7, 3-6 | 6-4, 4-6, 6-4"
boys,Alexander Dykes,Eatonville,Group 3,56.0,Emery Rosinski,Beargrass,Group 3,65.0,9.0,2,2,0,2,"3-6, 6-4, 7-5 | 6-7, 7-5, 4-6"
girls,Katherine Carr,North Coast,8A,49.0,Ella Tubbs,Waldo,8A,58.0,9.0,2,2,0,2,"6-4, 6-3 | 4-6, 7-6, 2-6"
girls,Facunda Arreola,Huerta,9A,67.0,Kinley Hubbard,Charlotte,9A,76.0,9.0,2,2,0,2,"4-6, 6-4, 2-6 | 3-6, 6-1, 6-2"
girls,Sabina Gibbs,Barlowe County,4A,70.0,Presley McClanahan,Indigo Bend,4A,79.0,9.0,2,2,0,2,"2-6, 6-7 | 6-3, 6-1"
boys,Legend Uribe,Xavier College Prep,8A,63.0,Brendan Zerr,Olive Head,8A,72.0,9.0,2,2,0,2,"6-1, 4-6, 2-6 | 5-7, 7-5, 6-0"
boys,Joel Hess,The Dalles,5A,59.0,Austin Emery,Central West End,5A,67.0,8.0,3,2,1,2,"6-3, 7-6 | 6-7, 4-6 | 7-5, 6-3"
boys,DeCarlos Zapata,Websterfield,5A,71.0,Kymani Jones,Verde Highlands,5A,79.0,8.0,3,2,1,2,"6-2, 2-6, 3-6 | 6-4, 6-4 | 6-4, 2-6, 6-3"
girls,Carly Acker,Wheeler Academy,7A,50.0,Rylee Rothman,J. Madison,7A,58.0,8.0,2,2,0,2,"3-6, 3-6 | 7-5, 4-6, 6-3"
boys,Samson Gomes,Flume River,4A,52.0,Marko Kroos,Prune Springs,4A,60.0,8.0,2,2,0,2,"3-6, 6-3, 6-1 | 4-6, 6-4, 2-6"
girls,Faith Young,Roscoe Village,5A,60.0,Lashay Kendrick,Willow Creek,5A,68.0,8.0,2,2,0,2,"6-2, 6-7, 2-6 | 5-7, 6-3, 6-2"
girls,Mattie Smith,Union,2A,64.0,Kassidy Ruggieri,Lewis,2A,72.0,8.0,2,2,0,2,"6-3, 6-3 | 6-7, 2-6"
boys,Zane Laloulu,Irrigon,1A,55.0,Joshua Villatoro,Weston-McEwen,1A,63.0,8.0,2,2,0,2,"6-4, 6-2 | 6-7, 6-1, 3-6"
girls,Alyssa Gutierrez,Silver Glen,3A,55.0,Katelyn Price,Western Slope,3A,63.0,8.0,2,2,0,2,"6-4, 6-4 | 3-6, 7-6, 4-6"
girls,Kenzie Hausmann,Forge Hollow,3A,57.0,Addison Beard,Mill Bar,3A,65.0,8.0,2,2,0,2,"7-5, 3-6, 6-2 | 3-6, 6-7"
girls,Elliana Whited,Bonds,Group 2,51.0,Madison Escalera,Coldwater,Group 2,59.0,8.0,2,2,0,2,"6-1, 3-6, 6-4 | 1-6, 6-4, 3-6"
boys,Mason Tran,Millworks,4A,70.0,Camron Brenes,Biloxi Heights,4A,78.0,8.0,2,2,0,2,"6-4, 3-6, 4-6 | 3-6, 6-4, 6-2"
girls,Mira Bajrami,Norstead,Group 3,47.0,Giselle Ray,Blue Valley,Group 3,55.0,8.0,2,2,0,2,"6-4, 5-7, 3-6 | 6-2, 6-1"
boys,Jabari Cozart,Marlow,4A,59.0,Luca Horton,Taft,4A,67.0,8.0,2,2,0,2,"6-2, 6-4 | 5-7, 5-7"
boys,Trent Bloss,Saltmarsh,3A,49.0,Arkel Bedard,River North,3A,57.0,8.0,2,2,0,2,"7-6, 4-6, 7-6 | 1-6, 4-6"
girls,Peanut Collarini,Stonehaven,8A,62.0,Audrey Jensen,Elysian Valley,8A,70.0,8.0,2,2,0,2,"4-6, 6-7 | 4-6, 6-4, 6-3"
boys,Melquiades Ruiz,Sixes,Group 3,44.0,Jesus Seales,Iisalmi Union,Group 3,52.0,8.0,2,2,0,2,"6-4, 6-0 | 6-7, 4-6"
girls,Avery Buck,Harriman Lyceum,Group 2,52.0,Sumaya Chakroun,Crown Paper,Group 2,60.0,8.0,2,2,0,2,"2-6, 6-3, 4-6 | 6-2, 6-3"
boys,Gabriel Smith,Norwood Park,Group 2,58.0,Matthew Vargo,Copper Belt,Group 2,66.0,8.0,2,2,0,2,"4-6, 6-7 | 6-4, 3-6, 6-1"
girls,Zoey Long,Chesapeake,8A,37.0,Sophia Lee,Roosevelt,8A,45.0,8.0,2,2,0,2,"6-3, 6-0 | 6-2, 2-6, 1-6"
girls,Holly Garza,Redwood Glen,1A,58.0,Naomi Wheeler,New Penzance Island,1A,66.0,8.0,2,2,0,2,"4-6, 5-7 | 4-6, 7-5, 6-4"
girls,Anna Fonseca,Kochiyama,4A,54.0,Brianna Bell,Marlow,4A,62.0,8.0,2,2,0,2,"7-5, 5-7, 2-6 | 6-4, 7-5"
girls,Sofia Grubbs,E. Baker,Group 2,82.0,Madison McHenry,Dawkins,Group 2,90.0,8.0,2,2,0,2,"6-1, 6-4 | 4-6, 2-6"
boys,Giovanni Hood,Lost River,7A,44.0,Jayden Wilkins,Klamath,7A,52.0,8.0,2,2,0,2,"3-6, 4-6 | 4-6, 6-4, 7-5"
girls,Kara Brooks,Etchartville,Group 1,72.0,Madison Horn,Rostova Tech,Group 1,80.0,8.0,2,2,0,2,"6-3, 6-3 | 6-0, 3-6, 6-7"
boys,Grant McGrath,Bannock,9A,65.0,Jackson Patrick,Amelia,9A,72.0,7.0,3,2,1,2,"3-6, 6-1, 6-7 | 6-7, 3-6 | 4-6, 6-3, 6-3"
girls,Kennedi Grace,Coast Prairie,1A,51.0,Marie Bonta,Carolina Island,1A,58.0,7.0,2,2,0,2,"4-6, 7-6, 4-6 | 6-1, 7-6"
girls,Andrea Erwin,St. Ignatius,6A,57.0,Susanna Rainey,Carden Pass,6A,64.0,7.0,2,2,0,2,"6-1, 6-7, 6-7 | 3-6, 6-7"
girls,Zaria Ledford,Naylor City,2A,52.0,Miranda Medlin,B.T. Washington,2A,59.0,7.0,2,2,0,2,"2-6, 6-3, 6-4 | 3-6, 6-3, 6-7"
girls,Ellie Medina,Websterfield,5A,71.0,Ava Hanes,Elk River,5A,78.0,7.0,2,2,0,2,"6-7, 7-5, 5-7 | 1-6, 6-3, 7-6"
boys,Jayden Bell,Canyonlands,7A,47.0,Cain Wagler,Observatory,7A,54.0,7.0,2,2,0,2,"5-7, 7-6, 6-0 | 5-7, 3-6"
girls,Colbi Paaske,Narragansett,7A,58.0,Emily Morgan,Fillmore,7A,65.0,7.0,2,2,0,2,"6-2, 7-5 | 6-3, 6-7, 4-6"
girls,Aubrey De Leon,Drayfield,Group 2,66.0,Elizabeth Chester,Copper Belt,Group 2,73.0,7.0,2,2,0,2,"4-6, 6-4, 4-6 | 3-6, 6-3, 6-4"
boys,Kelly Huber,Nurmes,Group 3,69.0,Aiden Hall,Ashbrook,Group 3,76.0,7.0,2,2,0,2,"1-6, 6-2, 4-6 | 6-2, 6-3"
girls,Abigail Huber,Boyerstown,5A,53.0,Giselle Nunley,Barley Point,5A,60.0,7.0,2,2,0,2,"5-7, 5-7 | 6-3, 6-1"
girls,Riley Dempsey,Larchmont Ridge,8A,46.0,Taylor Osorio,Memorial,8A,53.0,7.0,2,2,0,2,"3-6, 6-3, 6-1 | 2-6, 6-7"
boys,Freddy Kincaid,Utah,Group 1,61.0,Rafael Tannous,West Oberlin,Group 1,68.0,7.0,2,2,0,2,"6-4, 7-6 | 5-7, 2-6"
