gender,group,flight,player_id,player_name,school,seed,bracket_wins,bracket_losses,champion,runner_up,matches,wins,win_pct,wae,expected_wins,bracket_pct,elevation
girls,Group 2,S1,cd94e460d0b204b7,Corazon Cifuentes,Toussaint,3.0,6,0,1,0,25.0,21.0,0.84,-0.20225980653351894,21.20225980653352,1.0,0.16000000000000003
boys,5A,S3,b67d3d514f27abbc,Aiden Lee,Casco,10.0,3,1,0,0,22.0,13.0,0.5909090909090909,-1.636643497156144,14.636643497156143,0.75,0.15909090909090906
boys,7A,D2,618b701630ce9b83,Dylan Fichter,Brookmont,7.0,3,1,0,0,22.0,13.0,0.5909090909090909,0.9237813797117495,12.07621862028825,0.75,0.15909090909090906
girls,Group 2,S1,e7ff7fc903f78f1a,Ayla James,Brown,15.0,3,1,0,0,22.0,13.0,0.5909090909090909,-1.1578424884072167,14.157842488407217,0.75,0.15909090909090906
girls,Group 3,S3,d37bd7b83575f797,Lillian Newbill,Ashbrook,6.0,3,1,0,0,22.0,13.0,0.5909090909090909,-1.9573668320821795,14.95736683208218,0.75,0.15909090909090906
girls,2A,S3,68995fbb7ee334f9,Elena Gandy,Pine Eagle,1.0,6,0,1,0,19.0,16.0,0.8421052631578947,-1.828958437437195,17.828958437437194,1.0,0.1578947368421053
boys,Group 1,D1,25a48e8c34380bcf,Luis Waymire,Boyle Heights,5.0,4,1,0,0,14.0,9.0,0.6428571428571429,-1.2688608188928057,10.268860818892806,0.8,0.15714285714285714
boys,9A,D1,4b4b5b3e51409bec,Alzarri Drakes,Port Meridian Central,1.0,6,0,1,0,13.0,11.0,0.8461538461538461,-0.8885468537093582,11.888546853709357,1.0,0.15384615384615385
boys,4A,S1,410a9d483aa0e9a5,Obadiah Temple,Basalt,16.0,4,1,0,0,17.0,11.0,0.6470588235294118,0.49711413407498084,10.50288586592502,0.8,0.15294117647058825
boys,3A,S2,b0ff51b3e6bc125d,Kenneth Hickey,San Lorenzo,2.0,6,0,1,0,20.0,17.0,0.85,-1.7128541158805204,18.71285411588052,1.0,0.15000000000000002
boys,9A,D2,070c0f1b1dd79378,Colton Palacios,Jesuit,8.0,3,1,0,0,10.0,6.0,0.6,-0.9017200164798302,6.90172001647983,0.75,0.15000000000000002
boys,Group 1,S2,1eed8ff44faf4ed6,Levi Boyett,Terrace Park,1.0,6,0,1,0,27.0,23.0,0.8518518518518519,-1.9289887195865498,24.92898871958655,1.0,0.14814814814814814
girls,4A,D2,03b5e195b7b9eb74,Sariah Pearce,Gagarin,1.0,6,0,1,0,27.0,23.0,0.8518518518518519,-0.19609912030372878,23.196099120303728,1.0,0.14814814814814814
girls,5A,S2,bf465bbc2ee793bf,Jade Cervantes,Pine Barrens,5.0,4,1,0,0,26.0,17.0,0.6538461538461539,-2.3036960018114523,19.303696001811453,0.8,0.1461538461538462
girls,2A,S2,ccc46dc909119ab1,Patricia Gardner,Windward,2.0,6,0,1,0,21.0,18.0,0.8571428571428571,-0.5008701391176982,18.500870139117698,1.0,0.1428571428571429
girls,3A,S1,57d08c6aa3f3c01a,Alyssa Ambrosi,Quarmont,2.0,6,0,1,0,21.0,18.0,0.8571428571428571,-0.5915603408292491,18.59156034082925,1.0,0.1428571428571429
girls,7A,S1,c4487a38201dcd18,Halimatu Akinyemi,Veles Harbor,5.0,6,0,1,0,21.0,18.0,0.8571428571428571,-0.7221673725568226,18.72216737255682,1.0,0.1428571428571429
girls,8A,S1,339dcaa24854e75e,Raelynn Cardenas,Asteroid City,1.0,6,0,1,0,21.0,18.0,0.8571428571428571,-1.7250703454076848,19.725070345407683,1.0,0.1428571428571429
girls,8A,S3,df5b440d1bed0edd,Sophia Gideon,Minnesota City,1.0,6,0,1,0,28.0,24.0,0.8571428571428571,-0.8631895702229623,24.86318957022296,1.0,0.1428571428571429
boys,5A,S1,8660fbabe4f6a9cb,Declan Brewster,Providence Academy,8.0,3,1,0,0,23.0,14.0,0.6086956521739131,-3.0831988223431908,17.083198822343192,0.75,0.14130434782608692
boys,1A,D1,20274442a0a0d59d,Bradley Nussbaum,St. Josephine Bakhita,16.0,3,1,0,0,31.0,19.0,0.6129032258064516,2.145268179172774,16.854731820827226,0.75,0.13709677419354838
girls,6A,S3,21fc221d6217be16,Ella Corson,Golden State,8.0,3,1,0,0,31.0,19.0,0.6129032258064516,-0.06965980560581753,19.069659805605816,0.75,0.13709677419354838
girls,8A,D1,4f70fff7c79ff27d,Alena Carpio,Breakwater,12.0,3,1,0,0,13.0,8.0,0.6153846153846154,-1.8380390579774315,9.838039057977431,0.75,0.13461538461538458
girls,8A,D2,cc5adb7b437f172f,Brianna Charles,Marshfield Prep,3.0,5,1,0,1,10.0,7.0,0.7,-1.028448517799172,8.028448517799172,0.8333333333333334,0.13333333333333341
boys,6A,S3,aa5f96b992dae9dd,Kase McLaughlin,Hayes,4.0,4,1,0,0,27.0,18.0,0.6666666666666666,-0.8864565986307988,18.886456598630797,0.8,0.13333333333333341
girls,Group 2,S3,3e4f005d4d84126b,Allison Batty,Pierre,7.0,4,1,0,0,27.0,18.0,0.6666666666666666,-1.4018126327136278,19.40181263271363,0.8,0.13333333333333341
girls,Group 3,S1,4d92a4b96d45e9bc,Alayna Pesce,Ocean Park,2.0,4,1,0,0,27.0,18.0,0.6666666666666666,-3.4121574738230946,21.412157473823093,0.8,0.13333333333333341
boys,Group 1,D1,5e3d023b21681847,Duncan Graham,Terrace Park,2.0,6,0,1,0,15.0,13.0,0.8666666666666667,-0.5519381211366398,13.55193812113664,1.0,0.1333333333333333
boys,1A,S2,49ec94502143d886,Tyson McNamara,Portola-Caverly,8.0,3,1,0,0,21.0,13.0,0.6190476190476191,-2.1322546982038415,15.132254698203841,0.75,0.13095238095238093
boys,4A,S3,618d303c68fd0dd6,Nash Patel,Fellows Mill,7.0,3,1,0,0,21.0,13.0,0.6190476190476191,-0.3044618537818021,13.304461853781802,0.75,0.13095238095238093
boys,7A,S3,6130bf579c9ee998,William Worley,Henson Prep,8.0,3,1,0,0,21.0,13.0,0.6190476190476191,-2.129815858066335,15.129815858066335,0.75,0.13095238095238093
boys,Group 1,S2,fed54598a67931e6,Pablo Armani,Noe Valley,15.0,3,1,0,0,21.0,13.0,0.6190476190476191,-1.255387283532508,14.255387283532508,0.75,0.13095238095238093
boys,3A,S1,b6852c6c35903db5,Jayden Shoemaker,San Lorenzo,4.0,6,0,1,0,23.0,20.0,0.8695652173913043,-0.07905502884802218,20.07905502884802,1.0,0.13043478260869568
boys,Group 3,S1,440f8703ad1f9eb1,Drake Walker,Kuusamo,14.0,3,1,0,0,29.0,18.0,0.6206896551724138,-0.30706154807203057,18.30706154807203,0.75,0.1293103448275862
girls,7A,D2,2399789d716d6375,Aneesah Dash,Evans Larsen Day,2.0,6,0,1,0,16.0,14.0,0.875,0.8431254429327074,13.156874557067292,1.0,0.125
girls,Group 1,S2,ea820cc420c0363a,Madison Gonzales,Tallulah Central,2.0,6,0,1,0,24.0,21.0,0.875,-0.062158912942343214,21.062158912942344,1.0,0.125
boys,5A,S2,361da4f02ffe1aef,Brett Albert,Foxtail Meadows,13.0,3,1,0,0,27.0,17.0,0.6296296296296297,-0.7265754132228709,17.72657541322287,0.75,0.12037037037037035
girls,7A,S3,d0211efc7791427c,Alyssa Hernandez,Topanga,6.0,3,1,0,0,27.0,17.0,0.6296296296296297,0.6225951255750323,16.37740487442497,0.75,0.12037037037037035
girls,Group 2,S2,b03ef9a90d861820,Manuela Muñoz,Lodestone County,10.0,3,1,0,0,27.0,17.0,0.6296296296296297,0.776505871192606,16.223494128807395,0.75,0.12037037037037035
girls,8A,S2,18d0bb291412b498,Mya Rozier,Minnesota City,3.0,6,0,1,0,25.0,22.0,0.88,0.09945695180847502,21.900543048191526,1.0,0.12
boys,Group 1,S3,14456682b575541d,Eliot Collarini,Jackson Hole,7.0,4,1,0,0,25.0,17.0,0.68,-1.2397254444896628,18.239725444489665,0.8,0.12
boys,9A,S3,fa1caa3e10ae141d,Andres Cabrera,Canal View,4.0,5,1,0,1,28.0,20.0,0.7142857142857143,-1.1154826645048401,21.11548266450484,0.8333333333333334,0.11904761904761907
boys,Group 2,S1,894c737a88fae21f,Keshav Bolton,Star Valley Regional,4.0,6,0,1,0,17.0,15.0,0.8823529411764706,0.503384649629235,14.496615350370766,1.0,0.11764705882352944
girls,Group 3,S3,d1bb73ba23cd68c3,Kayla Davis,Ocean Park,5.0,4,1,0,0,19.0,13.0,0.6842105263157895,-2.1671979672468,15.1671979672468,0.8,0.11578947368421055
boys,5A,S1,d64444180563554c,Michael Boles,Westfield Friends,1.0,6,0,1,0,26.0,23.0,0.8846153846153846,0.7541227736365165,22.245877226363483,1.0,0.11538461538461542
boys,2A,S3,2abea953789147a0,Leon Allen,Fountain Park,12.0,3,1,0,0,22.0,14.0,0.6363636363636364,-3.2590027761995324,17.259002776199534,0.75,0.11363636363636365
boys,Group 1,S3,fb1a47a7791213e5,Neo Mofokeng,Point Loma,8.0,3,1,0,0,11.0,7.0,0.6363636363636364,-0.6882153995500648,7.688215399550065,0.75,0.11363636363636365
girls,8A,D1,804a7e04fc09794c,Raegan Zapata,Natchitoches,2.0,4,1,0,0,16.0,11.0,0.6875,-2.3727178505886006,13.3727178505886,0.8,0.11250000000000004
girls,1A,S2,5886a8efcc2035f8,Brenna Moore,Banfield Day,1.0,6,0,1,0,27.0,24.0,0.8888888888888888,-0.9446453590945245,24.944645359094526,1.0,0.11111111111111116
boys,3A,S1,d76546b5d7008c79,Abel Concepcion,Corey Canyon,10.0,3,1,0,0,25.0,16.0,0.64,-1.4814787874276258,17.481478787427626,0.75,0.10999999999999999
girls,7A,S2,092f8e878fdc33df,Kate Jackson,Cherry Hill East,7.0,3,1,0,0,25.0,16.0,0.64,-2.291161991792822,18.291161991792823,0.75,0.10999999999999999
boys,Group 1,D2,bf31b01482743e62,Benedict Williams,Rock Springs,11.0,4,1,0,0,26.0,18.0,0.6923076923076923,0.7360122784335928,17.26398772156641,0.8,0.10769230769230775
boys,6A,S3,c83914e9011018fd,Jackson Hollingsworth,Starfield,9.0,3,1,0,0,28.0,18.0,0.6428571428571429,-0.3750965001978199,18.37509650019782,0.75,0.1071428571428571
boys,7A,D1,43517bac68926b83,Fabian Boggs,Henson Prep,6.0,3,1,0,0,14.0,9.0,0.6428571428571429,-3.1684525266597063,12.168452526659706,0.75,0.1071428571428571
boys,7A,S3,66e4e8dfa91cb243,Jackson Fink,Starlight,14.0,3,1,0,0,28.0,18.0,0.6428571428571429,-1.2464498653125955,19.246449865312595,0.75,0.1071428571428571
boys,Group 2,S2,14a1395ade623a44,Bryant Bose,Reservoir Park,8.0,3,1,0,0,28.0,18.0,0.6428571428571429,-0.6597636015877754,18.659763601587777,0.75,0.1071428571428571
girls,8A,D2,d1912c6f91be6725,Delilah Miller,Natchitoches,4.0,3,1,0,0,14.0,9.0,0.6428571428571429,-1.078121380482582,10.078121380482582,0.75,0.1071428571428571
girls,8A,S3,25bc0758ebb4dce4,Hallie Mills,Lower Lake,9.0,3,1,0,0,28.0,18.0,0.6428571428571429,0.9609243546658773,17.039075645334123,0.75,0.1071428571428571
girls,1A,D1,0f0eafb0c4ae4b77,Hannah Marin,Los Remolinos,2.0,3,1,0,0,31.0,20.0,0.6451612903225806,-1.3020325943156252,21.302032594315627,0.75,0.10483870967741937
boys,4A,D1,dbf4f957c8d7c5f0,Olorunleke Musa,Sulphur Springs,19.0,3,1,0,0,17.0,11.0,0.6470588235294118,-0.2875455327862234,11.287545532786224,0.75,0.1029411764705882
girls,4A,D1,753c3f996d8de1e1,Ansley Ghea,Biloxi Heights,3.0,5,1,0,1,15.0,11.0,0.7333333333333333,-1.6750376944841285,12.675037694484129,0.8333333333333334,0.10000000000000009
girls,6A,S1,a8942d9999594fb5,Magüi Medina,Chaminade,7.0,5,1,0,1,30.0,22.0,0.7333333333333333,-1.9451117057305596,23.94511170573056,0.8333333333333334,0.10000000000000009
boys,6A,S1,e6f668f40800c53d,Mathenge Wachira,Golden State,8.0,4,1,0,0,20.0,14.0,0.7,0.49135815316370024,13.5086418468363,0.8,0.10000000000000009
boys,Group 1,S2,06a786c4accfe618,Julius Pinto,Rio San Juan,10.0,4,1,0,0,20.0,14.0,0.7,-3.0730321125228457,17.073032112522846,0.8,0.10000000000000009
boys,Group 1,S3,f9c5ea01030659b6,Brooks Jones,Rio San Juan,6.0,4,1,0,0,20.0,14.0,0.7,-2.054994686655567,16.05499468665557,0.8,0.10000000000000009
girls,3A,S2,2719ba5cc5267390,Margaret Keene,Barclay,4.0,4,1,0,0,20.0,14.0,0.7,-1.5879760315131948,15.587976031513195,0.8,0.10000000000000009
boys,9A,S2,1844cbad04b0b10d,Christopher Craven,Mickey Mantle,2.0,6,0,1,0,30.0,27.0,0.9,-1.4649111992199666,28.464911199219966,1.0,0.09999999999999998
girls,3A,D1,015151e3e8920699,Trish Bowen,California Canyons,1.0,6,0,1,0,10.0,9.0,0.9,-0.34913635580771574,9.349136355807715,1.0,0.09999999999999998
girls,Group 3,S2,4fc8e392b34d0e90,Eleanor Bright,Kuusamo,2.0,6,0,1,0,30.0,27.0,0.9,1.7213885358761365,25.278611464123863,1.0,0.09999999999999998
boys,6A,S1,12ab3c0d1af07cbf,Trent King,Benedetti,12.0,3,1,0,0,23.0,15.0,0.6521739130434783,-1.2373366019775194,16.237336601977518,0.75,0.09782608695652173
boys,8A,D2,6e1989efc3750c92,Quintin Morton,Crater View,5.0,3,1,0,0,23.0,15.0,0.6521739130434783,-1.9794858034296343,16.979485803429633,0.75,0.09782608695652173
girls,Group 1,S1,f22abfba7036d4e7,Eleanor Williams,Rio San Juan,10.0,3,1,0,0,23.0,15.0,0.6521739130434783,-0.14818769362409978,15.1481876936241,0.75,0.09782608695652173
girls,5A,S1,f3aa25ab5b6f8d81,Caroline Conklin,Hazel Country Day,2.0,5,1,0,1,19.0,14.0,0.7368421052631579,-0.513548801378831,14.513548801378832,0.8333333333333334,0.09649122807017552
boys,3A,S1,f4eab37271546294,Sawyer Mann,Mountain Gate,16.0,3,1,0,0,26.0,17.0,0.6538461538461539,-1.3660793386076537,18.366079338607655,0.75,0.09615384615384615
boys,8A,S2,e9961afd29f86f37,Ethan London,East Moscow,11.0,3,1,0,0,26.0,17.0,0.6538461538461539,-1.2295967261737046,18.229596726173703,0.75,0.09615384615384615
girls,Group 2,S2,fb3d0293f68f427f,Alaina Collier,Eden,14.0,3,1,0,0,26.0,17.0,0.6538461538461539,0.14990451932814308,16.850095480671857,0.75,0.09615384615384615
boys,2A,S3,07af89041e443a8f,Brandon Scholl,Netherwood,4.0,6,0,1,0,21.0,19.0,0.9047619047619048,-0.2935662487929439,19.293566248792946,1.0,0.09523809523809523
boys,Group 2,S3,fdd8eaebbf00b1ed,Marcell Bonga,Wyoming Valley,5.0,3,1,0,0,29.0,19.0,0.6551724137931034,-2.9176082288032457,21.917608228803246,0.75,0.09482758620689657
boys,Group 2,S3,36f2423a6e1f7cd7,Andre Knigga,Toussaint,6.0,3,1,0,0,29.0,19.0,0.6551724137931034,-3.438350818365028,22.438350818365027,0.75,0.09482758620689657
girls,8A,S3,67969f6825ce02c9,Brenna Naughton,Breakwater,3.0,3,1,0,0,29.0,19.0,0.6551724137931034,-2.5836390008367647,21.583639000836765,0.75,0.09482758620689657
girls,Group 2,S3,b0dd15c6bbce2ef6,Charlotte Smith,Boley,17.0,3,1,0,0,32.0,21.0,0.65625,0.2546038607771284,20.745396139222873,0.75,0.09375
boys,9A,S1,abc8d7ea83b22929,Charles McNutt,Rockridge,2.0,6,0,1,0,22.0,20.0,0.9090909090909091,0.4712616037066589,19.528738396293342,1.0,0.09090909090909094
girls,3A,S2,f7afd1409a6618b1,Isabella Trumbo,California Canyons,1.0,6,0,1,0,34.0,31.0,0.9117647058823529,-0.14933912536273986,31.14933912536274,1.0,0.08823529411764708
girls,6A,S1,8f8493183619e4cd,Mia Sparks,Emerson,2.0,6,0,1,0,23.0,21.0,0.9130434782608695,1.2690947503508498,19.73090524964915,1.0,0.08695652173913049
boys,2A,S2,5cfae29af3bb5d22,Hezekiah Nieves,Union,15.0,4,1,0,0,14.0,10.0,0.7142857142857143,0.4608748302089769,9.539125169791022,0.8,0.08571428571428574
boys,8A,S1,5f5792c5de79c373,Dalton Raines,Natchitoches,4.0,4,1,0,0,28.0,20.0,0.7142857142857143,-0.9299506852200584,20.92995068522006,0.8,0.08571428571428574
girls,3A,S3,75fcc9d9defe2220,Savy Mcpherson,Calderwood,8.0,4,1,0,0,21.0,15.0,0.7142857142857143,0.9526185350508882,14.047381464949112,0.8,0.08571428571428574
boys,Group 1,D2,29b3a98cd0b77579,James Gates,Cole Valley,2.0,6,0,1,0,12.0,11.0,0.9166666666666666,2.228945738935766,8.771054261064235,1.0,0.08333333333333337
