gender,date,dual_id,phase,slot,program_id,opp_program_id,player_id,opp_id,rating,opp_rating,win,p,score,wae,gap,name,opp_name,grade,opp_grade,style,opp_style,program_name,group,opp_program_name,opp_group,pair_key
girls,2086-03-21,jhdual:ad31b80a45f4708d,regular,S2,Tallow|girls,Garrity|girls,afed37ff68213bc6,3de865ce934d5b0d,54.0,83.0,1,0.02724406912960226,"6-1, 4-6, 6-3",0.9727559308703977,-29.0,Khloe Shaw,Summer Dixon,12,11,all_court,counterpuncher,Tallow,2A,Texas Beach,2A,3de865ce934d5b0d|afed37ff68213bc6
girls,2086-03-11,jhdual:80a50f5521cfb86f,early,S1,Norbrook|girls,Draybrook Union|girls,72b5f0be20f51e37,4e14f0a76103b492,52.0,81.0,1,0.02724406912960226,"6-4, 2-6, 6-2",0.9727559308703977,-29.0,Norah Richardson,Esmeralda Breen,12,11,balanced,aggressive_baseliner,Norbrook,3A,Draybrook Union,2A,4e14f0a76103b492|72b5f0be20f51e37
boys,2086-09-19,jhdual:87c152cbdcef2495,regular,S1,Lucía Villaseñor|boys,Belmonte Agricultural Sciences Academy|boys,207f341dc9a120a5,6dbf4337ab6ceff8,48.0,77.0,1,0.028858462228075976,"6-3, 6-3",0.971141537771924,-29.0,Kuron Snoeijs,Asher Rhee,11,10,balanced,balanced,Glen Park,6A,Pelican Town,6A,207f341dc9a120a5|6dbf4337ab6ceff8
girls,2086-03-23,jhdual:ef90b1dac02e8e30,regular,S1,Burnt River High|girls,Adrian High|girls,8352928d137f7654,339e916004fade7a,33.0,61.0,1,0.031007531556044653,"7-6, 2-6, 6-3",0.9689924684439554,-28.0,Yuna Di Lorenzo,Caoimhe McCarthy,12,12,aggressive_baseliner,all_court,Burnt River,1A,Adrian,1A,339e916004fade7a|8352928d137f7654
boys,2086-08-19,jhdual:38ca6359aa837204,regular,S3,Ruby Stokes|boys,San Telmo Agricultural Sciences Academy|boys,02556532b184cfe6,d4b041287f252bd6,44.0,72.0,1,0.018042403017928033,"6-3, 5-7, 0-6",0.981957596982072,-28.0,Miles Sykes,Jaime Klimpke,10,11,serve_first,aggressive_baseliner,Klamath,7A,Orchard Union,7A,02556532b184cfe6|d4b041287f252bd6
girls,2086-04-19,jhdual:7bb4c7d29ba9109b,regular,S1,Alderton|girls,Alderfield|girls,ecced72f7cce739f,3af1822dcf0e48db,56.0,84.0,1,0.031007531556044653,"7-5, 3-6, 6-2",0.9689924684439554,-28.0,Lucy Barth,Valeria Cyr,9,12,aggressive_baseliner,aggressive_baseliner,Alderton,1A,Linden,1A,3af1822dcf0e48db|ecced72f7cce739f
girls,2086-04-13,jhdual:189d312cb9ee2bb4,showcase_pod,S4,Steelbridge|girls,Fort Meriwether Breakwater|girls,da9fffa3b2d7b897,4f70fff7c79ff27d,45.0,73.0,1,0.031007531556044653,8-5,0.9689924684439554,-28.0,Angelina Murphy,Alena Carpio,9,11,aggressive_baseliner,counterpuncher,Forge,4A,Breakwater,8A,4f70fff7c79ff27d|da9fffa3b2d7b897
boys,2086-08-05,jhdual:8222c79ee835432d,early,S3,Nadia Sidorov|boys,Sofia Romanov North|boys,7af5ff6116c277b7,61c40d20969bccae,38.0,66.0,1,0.032790895076224846,"7-5, 6-2",0.9672091049237752,-28.0,Christopher Eppler,Raul Echevarria,11,10,serve_and_volley,balanced,Ride,6A,Cheney,5A,61c40d20969bccae|7af5ff6116c277b7
boys,2086-08-26,jhdual:6a5fc98b87032ea9,regular,S2,Pinecrest School|boys,Fellows Mill|boys,72f01598083ada5a,59f509fb62c8a801,48.0,76.0,1,0.032790895076224846,"6-3, 6-3",0.9672091049237752,-28.0,Isaac Rogers,Utkir Pulatov,12,11,serve_first,counterpuncher,Pinecrest,3A,Fellows Mill,4A,59f509fb62c8a801|72f01598083ada5a
boys,2086-08-20,jhdual:979f643a30322834,regular,S2,Boyerstown|boys,Tindall|boys,28d363f601a10c90,8d761421b7143d44,45.0,73.0,1,0.032790895076224846,"6-4, 7-5",0.9672091049237752,-28.0,Hiroto Morii,Jeremy Zinderstein,9,11,serve_first,counterpuncher,Boyerstown,5A,Tindall,5A,28d363f601a10c90|8d761421b7143d44
girls,2086-04-22,jhdual:5bf23884f2ae2f16,regular,S1,Nadia Chernov North|girls,Port Veles Foundry High|girls,99e9a45b98f42ec1,1af715e160663060,54.0,81.0,1,0.0352720232889505,"4-6, 6-3, 6-3",0.9647279767110495,-27.0,Alaysia Price,Saoirse Farrell,12,11,serve_first,aggressive_baseliner,Roosevelt,8A,Seawall,8A,1af715e160663060|99e9a45b98f42ec1
boys,2086-10-09,jhdual:8e2d721c56e7b82d,semi_state,S1,Caswell School of Science and Industry|boys,Amelia Freeman North|boys,1c8a849f24545178,9f3fd46624626670,58.0,85.0,1,0.020532133439757905,"4-6, 4-6",0.9794678665602421,-27.0,Santiago Derosa,James Knecht,12,12,balanced,serve_first,Arthur,5A,Casco,5A,1c8a849f24545178|9f3fd46624626670
boys,2086-08-20,jhdual:034aa05942003f68,regular,S2,Svenja Adler|boys,Blackpine|boys,d9ae6b142401b39d,2b7fa685081368ff,49.0,76.0,1,0.037238638005508126,"7-5, 7-5",0.9627613619944919,-27.0,Rhyne Ofili,Hunter Bowler,12,11,counterpuncher,balanced,East Range Agricultural,5A,Blackpine,5A,2b7fa685081368ff|d9ae6b142401b39d
girls,2086-03-07,jhdual:ef19f1b50dafeacc,early,S4,Vale High|girls,Joseph High|girls,05449ba33522e36b,c02e82df2c0ddb3c,43.0,70.0,1,0.0352720232889505,"6-4, 6-3",0.9647279767110495,-27.0,Ashley Bermejo,Tiphaine Bourassa,12,9,aggressive_baseliner,serve_first,Vale,2A,Joseph,1A,05449ba33522e36b|c02e82df2c0ddb3c
boys,2086-09-14,jhdual:5e1af607d2ed6dc7,regular,S3,Burdensome|boys,Star Valley Regional|boys,b99a00862547f179,bd335a7894f73b25,60.0,87.0,1,0.037238638005508126,"7-6, 6-3",0.9627613619944919,-27.0,Kai Moyer,Ricardo Bond,9,12,aggressive_baseliner,aggressive_baseliner,Burdensome,Group 2,Star Valley Regional,Group 2,b99a00862547f179|bd335a7894f73b25
girls,2086-05-13,jhdual:2c78a3d536445c82,super_regional,S1,Renata Adler|girls,Blackbird Canyon|girls,ac405a5395c8c7c4,032e44640cceb18a,61.0,88.0,1,0.020077791621467167,"1-6, 6-3, 6-7",0.9799222083785328,-27.0,Anjelica Abougzir,Sarah Vardy,11,12,pusher,all_court,Bracken,4A,Tallulah Canyon,4A,032e44640cceb18a|ac405a5395c8c7c4
girls,2086-03-29,jhdual:97001acaa2d060e1,regular,S3,Herbert Hoover|girls,Telfair|girls,f516002132792608,17b1f95a21e50f8b,34.0,61.0,1,0.0352720232889505,"6-4, 6-4",0.9647279767110495,-27.0,Graciela Peña,Eniya Krieger,9,10,junkballer,aggressive_baseliner,Hoover,4A,Pacersburg,4A,17b1f95a21e50f8b|f516002132792608
boys,2086-09-14,jhdual:f241862fcb99640d,regular,S1,Coolidge|boys,Astrid Ricci|boys,e5b3d687debf4b85,94c711886e4deb4a,72.0,99.0,1,0.020532133439757905,"6-7, 6-1, 6-7",0.9794678665602421,-27.0,Francis Beatty,Malcolm Crowell,10,12,all_court,aggressive_baseliner,Seagrove,9A,Jesuit,9A,94c711886e4deb4a|e5b3d687debf4b85
boys,2086-08-24,jhdual:8fdff67c10ab7c58,regular,S1,Arlington High|boys,Glenwood High|boys,db6c4fb972404962,83337d9ee8d8c1de,55.0,82.0,1,0.020532133439757905,"4-6, 3-6",0.9794678665602421,-27.0,Daniel Nielson,Shane Jacobs,10,10,serve_first,pusher,Arlington,1A,Glenwood,1A,83337d9ee8d8c1de|db6c4fb972404962
girls,2086-04-17,jhdual:02f2367bceb38058,regular,S2,Wellsville County Catholic|girls,Cub River Catholic|girls,4cc94f649f574cb1,58305cedeb3bdb3a,28.0,55.0,1,0.0352720232889505,"1-6, 7-6, 6-2",0.9647279767110495,-27.0,Elora Connolly,Bella Sinclair,11,11,counterpuncher,all_court,Hyrum,Group 2,Coldwater,Group 2,4cc94f649f574cb1|58305cedeb3bdb3a
boys,2086-08-30,jhdual:0254a6c1b403b720,regular,S1,Nikolai Markov|boys,Baptist HS|boys,f3b3f432ef32a1c6,3459ab910f55e143,73.0,99.0,1,0.02335725772814945,"5-7, 5-7",0.9766427422718506,-26.0,Omari Heslip,Forest Garland,12,12,balanced,counterpuncher,Christian Brothers,7A,Baptist,7A,3459ab910f55e143|f3b3f432ef32a1c6
girls,2086-04-01,jhdual:80844c65af0b7acf,regular,S2,Malad County Christian|girls,Star Valley Regional|girls,46350a0661c9a11e,30d7c6822b94d6a8,70.0,96.0,1,0.04009874369025585,"7-6, 7-5",0.9599012563097441,-26.0,Ashley Larson,Zoe Zollinger,12,12,aggressive_baseliner,serve_first,Sixmile,Group 3,Star Valley Regional,Group 2,30d7c6822b94d6a8|46350a0661c9a11e
girls,2086-03-26,jhdual:129473d91d541b91,regular,S2,Andrew Jackson North|girls,Halbrook Technical|girls,781658a49a354b6a,91387f466f28cc15,40.0,66.0,1,0.04009874369025585,"6-4, 3-6, 6-2",0.9599012563097441,-26.0,Brianna Fitzpatrick,Kerstin Meijer,12,12,aggressive_baseliner,aggressive_baseliner,Chaparral,8A,Basin Gate,9A,781658a49a354b6a|91387f466f28cc15
boys,2086-08-07,jhdual:600851d30d1fb25f,regular,S3,Telfair Country Day School|boys,Snowline|boys,de7165bf2003b646,83d7234ab495bfe4,39.0,65.0,1,0.04226330943123274,"7-6, 6-3",0.9577366905687672,-26.0,Chance York,Giovanni Love,11,12,serve_first,balanced,Telfair Country Day,9A,Snowline,9A,83d7234ab495bfe4|de7165bf2003b646
boys,2086-09-14,jhdual:c87189f7e1e2dbe3,showcase_tiered,S2,Sandhill Marsh|boys,Sage Point|boys,54c06f2d538c516b,6c9b634796dbefed,68.0,94.0,1,0.02335725772814945,"3-6, 6-1, 1-6",0.9766427422718506,-26.0,Ezekiel Barry,Haiden Cullum,12,12,aggressive_baseliner,serve_first,Sandhill Marsh,5A,California Canyons,3A,54c06f2d538c516b|6c9b634796dbefed
boys,2086-09-19,jhdual:ddfcf984125c99a9,regular,S2,Halfway House|boys,Puerto Alma|boys,597738175e79f0f5,552b40370cf52164,49.0,75.0,1,0.04226330943123274,"6-2, 2-6, 7-6",0.9577366905687672,-26.0,Zachary Phillips,Aidan West,10,10,aggressive_baseliner,serve_first,Halfway House,2A,Puerto Alma,2A,552b40370cf52164|597738175e79f0f5
boys,2086-08-23,jhdual:48d26d88f34c1055,regular,S3,Foothills Christian|boys,Calvary Chapel Ditch Fork|boys,793366035f71c81f,111bcf1acc5b7a8b,55.0,81.0,1,0.04226330943123274,"7-5, 1-6, 6-4",0.9577366905687672,-26.0,Elias Picklesimer,Sebastian Duffy,9,12,serve_first,all_court,Foothills Christian,1A,Cassius,1A,111bcf1acc5b7a8b|793366035f71c81f
girls,2086-04-16,jhdual:4296fec7835478ac,regular,S1,Imbler High|girls,Pine Eagle High|girls,b4e3df2ffa2300b9,ba3fc90d9b120b5a,52.0,78.0,1,0.04009874369025585,"2-6, 6-4, 6-4",0.9599012563097441,-26.0,Estefania Trevino,Arianna Mazza,11,11,balanced,aggressive_baseliner,Imbler,2A,Pine Eagle,2A,b4e3df2ffa2300b9|ba3fc90d9b120b5a
girls,2086-03-14,jhdual:4ba802f9206c38b7,regular,S1,Leidesdorff Academy of Music and Media|girls,Naomi Moss|girls,1aeaac538f939cdd,197efc8a6ae31884,33.0,59.0,1,0.04009874369025585,"0-6, 7-6, 6-2",0.9599012563097441,-26.0,Kaylie Heredia,Cándida García,10,11,balanced,balanced,East Burlington,5A,Meyerland,5A,197efc8a6ae31884|1aeaac538f939cdd
boys,2086-09-07,jhdual:505e7a433b206d5f,showcase_pod,S1,La Grande High|boys,Las Norias|boys,0472cc21958236d7,121bc7d45c36de3b,57.0,83.0,1,0.04226330943123274,8-6,0.9577366905687672,-26.0,Spencer Silver,Everett Stanley,10,12,junkballer,balanced,La Grande,5A,Las Norias,4A,0472cc21958236d7|121bc7d45c36de3b
boys,2086-09-14,jhdual:8019b5fcf20baf87,regular,S2,Beatriz Zamora|boys,Black Springs|boys,d44b9b6714e48f11,f960a1379c0eb877,36.0,62.0,1,0.04226330943123274,"6-3, 6-3",0.9577366905687672,-26.0,Remington Welsh,Daan Kramer,11,9,all_court,balanced,Tower Grove,9A,Black Springs,9A,d44b9b6714e48f11|f960a1379c0eb877
boys,2086-09-14,jhdual:8ba0e378837508d7,regular,S2,Harry Truman|boys,Olive Reach North|boys,e676c2e682c2edcb,597384735290d6e9,52.0,78.0,1,0.04226330943123274,"6-3, 6-2",0.9577366905687672,-26.0,Noel Taupaki,Liam Keeler,11,11,counterpuncher,serve_first,Truman,4A,Buckeye Ridge,4A,597384735290d6e9|e676c2e682c2edcb
boys,2086-08-07,jhdual:5d99ebe486c5fee4,early,S2,Lodestone|boys,Olive Reach|boys,d4fdda4da6fd1d36,9032bb0516b46de8,46.0,72.0,1,0.02335725772814945,"6-7, 4-6",0.9766427422718506,-26.0,Cody Pacifico,Matthew Jenny,11,10,counterpuncher,all_court,Lodestone,Group 3,Mendelssohn,5A,9032bb0516b46de8|d4fdda4da6fd1d36
girls,2086-03-26,jhdual:1eb3afb4af260157,regular,S2,Milldale Union|girls,Stagewater County High|girls,6994569b406c738c,5db27755080051cb,33.0,59.0,1,0.04009874369025585,"7-5, 7-6",0.9599012563097441,-26.0,Everly Gutierrez,Brooklynn Dupont,12,11,counterpuncher,aggressive_baseliner,Sotkamo Union,Group 3,Wong,Group 2,5db27755080051cb|6994569b406c738c
boys,2086-08-15,jhdual:7e3eb9828d6ab5c6,regular,S1,Belmonte Health Sciences Academy|boys,Belmonte Agricultural Sciences Academy|boys,6eb8417149a33965,dd216ff724134602,45.0,71.0,1,0.04226330943123274,"6-1, 6-0",0.9577366905687672,-26.0,Christopher Askew,Owen Mitchell,12,12,counterpuncher,all_court,Dusty Spur,6A,Pelican Town,6A,6eb8417149a33965|dd216ff724134602
girls,2086-03-05,jhdual:e247ea0a7e4c37ba,early,S1,Fellows Mill Civic Leadership Academy|girls,Gagarin|girls,3e03b62432f7735d,fbded2c5c961263d,70.0,95.0,1,0.04555477664026341,"6-3, 7-6",0.9544452233597366,-25.0,Mary Watterson,Meshkatolzahra Sadeghi,12,11,counterpuncher,all_court,Millworks,4A,Gagarin,4A,3e03b62432f7735d|fbded2c5c961263d
girls,2086-03-18,jhdual:cf4b473bc4ae0ad5,regular,S3,Mountain View High|girls,Fort Carden|girls,4cfd7ea8db26c53f,71575fc70074e084,40.0,65.0,1,0.04555477664026341,"7-5, 2-6, 6-4",0.9544452233597366,-25.0,Penelope Halim,Madelyn Gabel,12,9,serve_first,balanced,Mountain View,8A,Fort Carden,8A,4cfd7ea8db26c53f|71575fc70074e084
boys,2086-08-05,jhdual:8ab024705d65b390,early,S2,Yelena Belov|boys,Abraham Lincoln|boys,68446e029aaf1ff7,0669d148208f0ef5,49.0,74.0,1,0.04793221373902088,"3-6, 6-3, 6-4",0.9520677862609791,-25.0,Nathaniel Roy,Renato Bautista,10,12,serve_and_volley,balanced,Pennsauke,9A,Lincoln,8A,0669d148208f0ef5|68446e029aaf1ff7
boys,2086-08-20,jhdual:10e32140ea59f903,regular,S2,Treasure Valley North|boys,St. Martin Preparatory|boys,5dad3163ca12bb65,b9614add1b005569,43.0,68.0,1,0.04793221373902088,"6-2, 6-7, 6-3",0.9520677862609791,-25.0,Sullivan Underhill,Channing Ortega,12,12,serve_first,serve_first,Petoskey,Group 2,Greaves West,Group 2,5dad3163ca12bb65|b9614add1b005569
boys,2086-09-18,jhdual:036b700586326126,regular,S1,Snowline|boys,Edith Mercer|boys,70e410af244be820,a28a81405ec4cb59,72.0,97.0,1,0.04793221373902088,"1-6, 6-3, 6-2",0.9520677862609791,-25.0,Soren Callahan,Chih-wei Liao,12,11,balanced,serve_first,Snowline,9A,Forest Park,9A,70e410af244be820|a28a81405ec4cb59
boys,2086-09-13,jhdual:96455e3944861d1c,regular,S3,Pauli Booker|boys,Naomi Ellison|boys,6220a0479771f2bc,c83914e9011018fd,41.0,66.0,1,0.04793221373902088,"6-4, 6-2",0.9520677862609791,-25.0,William Yu,Jackson Hollingsworth,12,12,all_court,balanced,Nightfall,6A,Starfield,6A,6220a0479771f2bc|c83914e9011018fd
boys,2086-09-23,jhdual:75d75f8ba40ebb84,regular,S2,Mikhail Sidorov|boys,Manzanita Ridge|boys,b412d312240a8868,4901541c6b22b2a2,38.0,63.0,1,0.04793221373902088,"6-4, 6-4",0.9520677862609791,-25.0,Wyatt Schaefer,James Miller,11,11,aggressive_baseliner,aggressive_baseliner,Cap Rouge,6A,Manzanita,6A,4901541c6b22b2a2|b412d312240a8868
girls,2086-03-27,jhdual:d991ae55353f5b40,regular,S3,Homecroft Manufacturing and Technology Academy|girls,José Martí North|girls,2fde66d41e23b5b4,17c226047f13ace5,49.0,74.0,1,0.04555477664026341,"6-4, 3-6, 7-5",0.9544452233597366,-25.0,Eleanor Hermes,Chloe Baker,12,12,balanced,balanced,West Burlington,Group 3,Belle Rive,5A,17c226047f13ace5|2fde66d41e23b5b4
boys,2086-09-07,jhdual:d0334a551db237e1,showcase_pod,S4,Roscoe Bennett North|boys,Nathaniel Cross North|boys,ee12e38dd4904782,a3d2b192263f6672,43.0,68.0,1,0.04793221373902088,9-8,0.9520677862609791,-25.0,Patrick Gaubert,Joshua Fabre,10,12,balanced,counterpuncher,Narragansett,7A,Miles Davis,5A,a3d2b192263f6672|ee12e38dd4904782
boys,2086-10-17,jhdual:769bff24db94155c,state,S1,Marshdale|boys,Naylors Landing|boys,ca56c0e4adf01f28,ba70e180744e5719,62.0,87.0,1,0.026560564580544233,"4-6, 3-6",0.9734394354194558,-25.0,Marquise Leslie,Tate Taylor,12,12,aggressive_baseliner,all_court,Fort Lassiter,Group 3,Naylors Landing,Group 3,ba70e180744e5719|ca56c0e4adf01f28
boys,2086-08-29,jhdual:edeca46969f49859,regular,S2,Etchart|boys,Malad County Christian|boys,d8eb3c66b9d216f0,4da4bd0e3deaa5e8,50.0,75.0,1,0.04793221373902088,"7-5, 3-6, 6-3",0.9520677862609791,-25.0,Deangelo Moody,Logan Granville,12,11,aggressive_baseliner,all_court,Etchart,Group 3,Sixmile,Group 3,4da4bd0e3deaa5e8|d8eb3c66b9d216f0
girls,2086-03-15,jhdual:e0df8b69c11d157a,regular,S2,Eisenhower|girls,Olive Reach North|girls,2bc2999fe09e448d,e5522f7632c4e3f7,47.0,72.0,1,0.04555477664026341,"6-4, 6-3",0.9544452233597366,-25.0,Annalise Harris,Julie Seo,12,9,aggressive_baseliner,balanced,Flume River,4A,Buckeye Ridge,4A,2bc2999fe09e448d|e5522f7632c4e3f7
girls,2086-04-12,jhdual:c0780e0824683bf7,regular,S2,Kernwood Lutheran|girls,Levee Bluff|girls,dba352ea1d6ef110,8904c81cae3ff8ee,49.0,73.0,1,0.05171319007025387,"6-0, 6-4",0.9482868099297461,-24.0,Grace Gamez,Taylor Velasquez,12,12,aggressive_baseliner,counterpuncher,Kernwood Lutheran,1A,Levee Bluff,1A,8904c81cae3ff8ee|dba352ea1d6ef110
boys,2086-08-13,jhdual:cb17e01527d65802,regular,S1,Coast Prairie|boys,Los Remolinos|boys,95dd0b69eb8f5e0a,83e3f6f08a502908,62.0,86.0,1,0.05431837953688058,"7-6, 6-3",0.9456816204631194,-24.0,Benjamin Camacho,Lucas Chou,12,11,aggressive_baseliner,balanced,Coast Prairie,1A,Los Remolinos,1A,83e3f6f08a502908|95dd0b69eb8f5e0a
boys,2086-08-24,jhdual:71f3f7eb2909f289,regular,S3,Westside Christian|boys,Ashbury Heights|boys,dcffaae7cb7ae16b,470be091a6578da1,44.0,68.0,1,0.05431837953688058,"6-4, 3-6, 6-2",0.9456816204631194,-24.0,Radosław Krol,Justice Deal,11,11,serve_first,aggressive_baseliner,Westside Christian,9A,Ashbury Central,9A,470be091a6578da1|dcffaae7cb7ae16b
boys,2086-09-14,jhdual:6ecb546848cba770,regular,S3,Kilbride Switch|boys,Willow Creek|boys,905fe23340b3bcaf,93d5d5f3cbb0442e,34.0,58.0,1,0.05431837953688058,"6-2, 0-6, 6-4",0.9456816204631194,-24.0,Richard Guzman,Roman Jamison,12,9,aggressive_baseliner,pusher,Kilbride Switch,5A,Willow Creek,5A,905fe23340b3bcaf|93d5d5f3cbb0442e
girls,2086-03-12,jhdual:f4e9f67eb3c00cc1,regular,S1,Annie Springs|girls,Union High|girls,e14eee7053c07368,e0210f61d353b490,67.0,91.0,1,0.05171319007025387,"6-4, 7-6",0.9482868099297461,-24.0,Nola Savoie,Serenity Nunn,11,11,serve_and_volley,balanced,Annie Springs,2A,Union,2A,e0210f61d353b490|e14eee7053c07368
boys,2086-09-16,jhdual:99dd1eff39710037,regular,S2,Gilhooly|boys,Sutter Basin|boys,995b301dd4e5fb3c,884c823e3162a858,52.0,76.0,1,0.030189605712553802,"3-6, 6-3, 5-7",0.9698103942874462,-24.0,Rey Acosta,Jonathan Cannon,12,12,aggressive_baseliner,counterpuncher,Gilhooly,2A,Sutter Basin,2A,884c823e3162a858|995b301dd4e5fb3c
girls,2086-03-06,jhdual:b3dba652a8b721d7,early,S4,Norstead|girls,Lodestone County High|girls,29f8e24a5aa69f95,06b315c2a826d986,39.0,63.0,1,0.05171319007025387,"6-4, 7-5",0.9482868099297461,-24.0,Kelly Bush,Aaliyah Trevino,10,12,balanced,aggressive_baseliner,Norstead,Group 3,Lodestone County,Group 2,06b315c2a826d986|29f8e24a5aa69f95
girls,2086-04-16,jhdual:cb30c80dcd44021f,regular,S3,Shirley Chisholm|girls,Caswell|girls,852eb1f7d7ab297c,ca9a6b6a354b659a,35.0,59.0,1,0.029654251695301337,"6-4, 6-7, 5-7",0.9703457483046987,-24.0,Melanie Williamson,Olivia Kim,11,10,aggressive_baseliner,pusher,Chisholm,8A,Caswell,8A,852eb1f7d7ab297c|ca9a6b6a354b659a
girls,2086-03-04,jhdual:9d53bbef1655ad7e,early,S1,New Leiden Classical Academy|girls,John Lewis|girls,ac4dacd0e73b185f,0e862e3aa1999d25,48.0,72.0,1,0.05171319007025387,"7-6, 7-6",0.9482868099297461,-24.0,Cassandra Palmer,Kassidy Ruggieri,12,9,counterpuncher,serve_and_volley,Vermeer,3A,Lewis,2A,0e862e3aa1999d25|ac4dacd0e73b185f
girls,2086-03-08,jhdual:02e38789ce568d9b,regular,S2,Frontier High|girls,St. Michael Academy North|girls,424f4ade491ccd38,a09c328637fb8e2d,31.0,55.0,1,0.029654251695301337,"6-1, 6-7, 6-7",0.9703457483046987,-24.0,Olivia Pryor,Mariah Wyant,11,10,pusher,counterpuncher,Frontier,Group 1,Green Valley,Group 1,424f4ade491ccd38|a09c328637fb8e2d
boys,2086-08-14,jhdual:bdf9b73f392a3847,regular,S3,Sage Lake|boys,Saltbush Reach|boys,dbd2f088da83ce24,01faa0977417abba,45.0,69.0,1,0.030189605712553802,"5-7, 6-2, 5-7",0.9698103942874462,-24.0,Matt Stott,Owen Berry,9,11,aggressive_baseliner,serve_and_volley,Sage Village,Group 3,Saltbush,Group 3,01faa0977417abba|dbd2f088da83ce24
